"branch";"account_type";"description";"npc";"saldo";"acc_cod";"currency";"customercode";"idn";"agreement_number";"com_agr_id";"migr_date"
г.Алматы;0;1;;84000.00;%%;KZT;;;107;;27.02.2019
г.Алматы;0;1;;21333.00;%%;KZT;;;109;;27.02.2019
г.Алматы;0;1;;149334.00;%%;KZT;;;84;;27.02.2019
г.Алматы;0;1;;128000.00;%%;KZT;;;91;;27.02.2019
г.Алматы;0;3;;542842.00;%%;KZT;;;41;;27.02.2019
г.Семей;0;4;;113329.00;%%;KZT;;;69;;27.02.2019
г.Семей;0;1;;19605.00;%%;KZT;;;88;;27.02.2019
г.Семей;0;2;;685.00;%%;KZT;;;29;;27.02.2019
г.Семей;0;4;;211033.00;%%;KZT;;;99;;27.02.2019
г.Семей;0;4;;92206.00;%%;KZT;;;97;;27.02.2019
г.Актобе;0;1;;100000.00;%%;KZT;;;82;;27.02.2019
г.Актобе;0;1;;166667.00;%%;KZT;;;83;;27.02.2019
г.Актобе;0;1;;14754.00;%%;KZT;;;66;;27.02.2019
г.Актобе;0;1;;35972.00;%%;KZT;;;94;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;110;;27.02.2019
г.Алматы;0;2;;;П%%;KZT;;;63;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;101;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;77;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;87;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;90;;27.02.2019
г.Алматы;0;4;;135666.00;П%%;KZT;;;103;;27.02.2019
г.Алматы;0;4;;;П%%;KZT;;;61;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;108;;27.02.2019
г.Алматы;0;4;;207105.00;П%%;KZT;;;58;;27.02.2019
г.Алматы;0;4;;99953.00;П%%;KZT;;;54;;27.02.2019
г.Алматы;0;4;;108227.00;П%%;KZT;;;67;;27.02.2019
г.Алматы;0;1;;301389.00;П%%;KZT;;;79;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;111;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;105;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;106;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;107;;27.02.2019
г.Алматы;0;1;;;П%%;KZT;;;109;;27.02.2019
г.Алматы;0;1;;320000.00;П%%;KZT;;;84;;27.02.2019
г.Алматы;0;1;;330667.00;П%%;KZT;;;91;;27.02.2019
г.Алматы;0;3;;;П%%;KZT;;;41;;27.02.2019
г.Семей;0;4;;;П%%;KZT;;;69;;27.02.2019
г.Семей;0;1;;;П%%;KZT;;;88;;27.02.2019
г.Семей;0;2;;;П%%;KZT;;;29;;27.02.2019
г.Семей;0;4;;;П%%;KZT;;;99;;27.02.2019
г.Семей;0;4;;;П%%;KZT;;;97;;27.02.2019
г.Актобе;0;1;;;П%%;KZT;;;82;;27.02.2019
г.Актобе;0;1;;458938.00;П%%;KZT;;;83;;27.02.2019
г.Актобе;0;1;;;П%%;KZT;;;66;;27.02.2019
г.Актобе;0;1;;;П%%;KZT;;;94;;27.02.2019
