"_loan_id","_client_id","_line_id","_type","_number","_filial","_effect","rate","srok","open_date","end_date","summa","_client_type","_line_number","_line_sum","_open_line","_product","_peni"
"8c8b2c4d54674cb511e80fb867968e85","8f2f2c4d54674cb511e80648487b7e4c","8f2f2c4d54674cb511e80648487b7e52","Потребительский кредит","60",NULL,"50.700","50.00","12","2018-02-09","2019-02-09","1000000.00","0","57.","7000000.00","2018-01-30","Краткосрочный потребительский кредит под 50%","1.00"
"8d472c4d54674cb511e81dddb8b139dd","bdbcfec1caa1c9ce11e6bb8f12fb23f4","b4162c4d54674cb511e75b1431080e5d","Пополнение оборотных средств","62",NULL,"54.900","50.00","12","2018-03-02","2019-03-02","2100000.00","1","-0000000020","13000000.00","2017-06-23","Краткосрочный  микрокредит на пополнение оборотных средств -50%","1.00"
"88c12c4d54674cb511e839833bcca550","a3af2c4d54674cb511e7d97b976254cb","a3af2c4d54674cb511e7d9b44efb5dce","Потребительский кредит","63",NULL,"55.900","55.00","18","2018-04-06","2019-10-06","5000000.00","0","42","5000000.00","2017-11-30","Долгосрочный кредитный продукт срок 36 месяца, 55 % годовых","1.00"
"ae9e2c4d54674cb511e8445a530eb088","8f2f2c4d54674cb511e80648487b7e4c","8f2f2c4d54674cb511e80648487b7e52","Потребительский кредит","64",NULL,"54.900","50.00","18","2018-04-17","2019-10-17","5000000.00","0","57.","7000000.00","2018-01-30","Краткосрочный потребительский кредит под 50%","1.00"
"bfc02c4d54674cb511e8483d05dd8a07","ae9e2c4d54674cb511e8445a530eb08f","ae9e2c4d54674cb511e8445a530eb097","Потребительский кредит","66",NULL,"55.900","50.00","12","2018-04-20","2019-04-20","4200000.00","0","65","4200000.00","2018-04-19","Долгосрочный 50% годовых, 36 месяцев","1.00"
"bfc02c4d54674cb511e8483d05dd8a13","8aa62c4d54674cb511e7fff42195d916","8aa62c4d54674cb511e8002997bd3c2c","Потребительский кредит","67",NULL,"50.500","48.00","44","2018-04-25","2021-12-25","1500000.00","0","53","11200000.00","2018-01-22","Долгосрочный лимит 48 мес, 48%, комиссия 4%, пени 1% без отсрочки","1.00"
"bb882c4d54674cb511e84dc7bd5e7eba","bb882c4d54674cb511e84dc7bd5e7eb2","bb882c4d54674cb511e84dc7bd5e7eb7","Потребительский кредит","69",NULL,"52.200","50.00","48","2018-04-28","2022-04-28","2800000.00","0","68","2800000.00","2018-04-26","Долгосрочный кредитный продукт под 50% на 48 мес","1.00"
"ae572c4d54674cb511e85033aea8da6c","892590fba666762811e74030b645ccf5","892590fba666762811e74030b645ccfa","Пополнение оборотных средств","70",NULL,"55.100","48.00","22","2018-05-05","2020-03-05","2800000.00","1","-0000000013","18000000.00","2017-03-27","Долгосрочный  микрокредит на пополнение оборотных средств-48","1.00"
"843b2c4d54674cb511e85fd25337d58f","8f2f2c4d54674cb511e80648487b7e4c","843b2c4d54674cb511e85fd25337d58b","Потребительский кредит","73","г.Актобе","55.700","52.00","18","2018-05-24","2019-11-24","8000000.00","0","72","8000000.00","2018-05-23","Долгосрочный до 24 мес 52 %, 3% комиссия, 1 % пени","1.00"
"843b2c4d54674cb511e85fd25337d595","892590fba666762811e74030b645ccf5","892590fba666762811e74030b645ccfa","Пополнение оборотных средств","74","г. Алматы","52.000","48.00","22","2018-05-25","2020-03-25","4700000.00","1","-0000000013","18000000.00","2017-03-27","Долгосрочный  микрокредит на пополнение оборотных средств-48","1.00"
"953a2c4d54674cb511e8a5fb5d202122","a6aa2c4d54674cb511e786508dbb581e","be522c4d54674cb511e78657df31c0a4","Потребительский кредит","79","г. Алматы","54.500","50.00","12","2018-08-22","2019-08-22","7000000.00","0","23","7000000.00","2017-08-15","Краткосрочный потребительский кредит под 50%","1.00"
"953a2c4d54674cb511e8a68cc5b64688","892590fba666762811e74030b645ccf5","892590fba666762811e74030b645ccfa","Пополнение оборотных средств","80","г. Алматы","52.300","48.00","19","2018-08-23","2020-03-23","10000000.00","1","-0000000013","18000000.00","2017-03-27","Долгосрочный  микрокредит на пополнение оборотных средств-48","1.00"
"b5be2c4d54674cb511e8b1b2cae7e7c7","829e2c4d54674cb511e7e15197ca871f","829e2c4d54674cb511e7e15197ca8728","Потребительский кредит","82","г.Актобе","54.100","50.00","12","2018-09-10","2019-09-10","4500000.00","0","42..","4500000.00","2017-12-05","Долгосрочный 24 месяца 50% годовых","1.00"
"b5be2c4d54674cb511e8b1b2cae7e7ca","829e2c4d54674cb511e7e1670843bcda","829e2c4d54674cb511e7e1670843bce3","Потребительский кредит","83","г.Актобе","50.700","50.00","12","2018-09-10","2019-09-10","7500000.00","0","43","7500000.00","2017-12-04","Долгосрочный 24 месяца 50% годовых","1.00"
"ac562c4d54674cb511e8e3cea0f8fd0c","bdb8ab6189639ecd11e6afbf92ee428f","bf2e2c4d54674cb511e7a2b4844326b4","Потребительский кредит","88","г. Семей","55.790","55.00","12","2018-11-09","2019-11-09","1000000.00","0","04","2500000.00","2016-11-11","Среднесрочный потребительский кредит под залоговое обеспечение","1.00"
"810800505694c42011e8e7cb1163dc86","892590fba666762811e74030b645ccf5","892590fba666762811e74030b645ccfa","Пополнение оборотных средств","92","г. Алматы","52.800","48.00","16","2018-11-15","2020-03-15","500000.00","1","-0000000013","18000000.00","2017-03-27","Долгосрочный  микрокредит на пополнение оборотных средств-48","1.00"
"810800505694c42011e8ebbe325b2c34","829e2c4d54674cb511e7e1670843bcea","810800505694c42011e8ebbe325b2c32","Потребительский кредит","94","г.Актобе","55.660","50.00","12","2018-11-20","2019-11-20","3700000.00","0","93","3700000.00","2018-11-20","Долгосрочный 24 месяца 50% годовых","1.00"
"810800505694c42011e8ee05a34b7be4","810800505694c42011e8ee05a34b7bdb","810800505694c42011e8ee05a34b7be2","Потребительский кредит","96","г. Алматы","54.400","50.00","12","2018-11-26","2019-11-26","15000000.00","0","95","15000000.00","2018-11-26","Долгосрочный 24 месяца 50% годовых","1.00"
"810800505694c42011e8fc49e9fde714","a3af2c4d54674cb511e7d97b976254cb","810800505694c42011e8fc49e9fde712","Потребительский кредит","101","г. Алматы","55.840","55.00","12","2018-12-10","2019-12-10","5000000.00","0","-0000000001","5000000.00","2018-12-10","Долгосрочный кредитный продукт срок 36 месяца, 55 % годовых","1.00"
"810800505694c42011e8fd36c2adb5df","8f2f2c4d54674cb511e80648487b7e3b","810800505694c42011e8f7b3cf86dfdb","Потребительский кредит","99","г. Семей","51.870","50.00","48","2018-12-10","2022-12-10","9600000.00","0","98","9600000.00","2018-12-10","Долгосрочный кредитный продукт под 50% на 48 мес","1.00"
"810a00505694c42011e91afe983861d7","892590fba666762811e74030b645ccf5","892590fba666762811e74030b645ccfa","Пополнение оборотных средств","105","г. Алматы","53.690","48.00","12","2019-01-28","2020-01-28","5000000.00","1","-0000000013","18000000.00","2017-03-27","Долгосрочный  микрокредит на пополнение оборотных средств-48","1.00"
"810a00505694c42011e9245aedfcc212","892590fba666762811e74030b645ccf5","892590fba666762811e74030b645ccfa","Пополнение оборотных средств","106","г. Алматы","53.710","48.00","12","2019-01-30","2020-01-30","10000000.00","1","-0000000013","18000000.00","2017-03-27","Долгосрочный  микрокредит на пополнение оборотных средств-48","1.00"
"810a00505694c42011e9245aedfcc21e","892590fba666762811e74030b645ccf5","892590fba666762811e74030b645ccfa","Пополнение оборотных средств","107","г. Алматы","53.560","48.00","12","2019-02-06","2020-02-06","3000000.00","1","-0000000013","18000000.00","2017-03-27","Долгосрочный  микрокредит на пополнение оборотных средств-48","1.00"
"810a00505694c42011e9358d1e60374e","892590fba666762811e74030b645ccf5","892590fba666762811e74030b645ccfa","Пополнение оборотных средств","109","г. Алматы","53.600","48.00","12","2019-02-19","2020-02-19","2000000.00","1","-0000000013","18000000.00","2017-03-27","Долгосрочный  микрокредит на пополнение оборотных средств-48","1.00"
"92a12c4d54674cb511e8d5a8e7169cbb","bf2e2c4d54674cb511e7a282b4945407",NULL,"Потребительский кредит","86","г. Алматы","55.800","55.00","12","2018-10-22","2019-10-22","3500000.00","0",NULL,NULL,NULL," Краткосрочный потребительский кредит под залоговое обеспечение-55%","1.00"
"b7202c4d54674cb511e85d7460039c4f","892590fba666762811e74030b645cce5",NULL,"Потребительский кредит","71","г. Алматы","53.900","48.00","12","2018-05-18","2019-05-18","3100000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский кредит под 48% на 12 мес с комиссией1%","1.00"
"a7d02c4d54674cb511e8b66c73be4a91","892590fba666762811e74030b645cce5",NULL,"Потребительский кредит","84","г. Алматы","53.600","48.00","12","2018-09-13","2019-09-13","8000000.00","0",NULL,NULL,NULL,"Краткосрочный микрокредит на потребительские цели под 48% с комиссией 4 %","1.00"
"bdb0d6512ca9c7c311e68a1204cf245b","bdb0d6512ca9c7c311e68a1204cf244e",NULL,"Потребительский кредит","01",NULL,"55.700","55.00","12","2016-10-25","2017-10-25","10000000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский кредит под залоговое обеспечение","0.70"
"892590fba666762811e74030b645ccea","892590fba666762811e74030b645cce5",NULL,"Потребительский кредит","11",NULL,"53.900","48.00","12","2017-03-03","2018-03-03","7000000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский кредит под залоговое обеспечение с льготным периодом","1.00"
"a3af2c4d54674cb511e7d9b44efb5dd1","b8e82c4d54674cb511e7e630eb14cd39",NULL,"Потребительский кредит","47",NULL,"52.100","50.00","48","2017-12-21","2021-12-21","9000000.00","0",NULL,NULL,NULL,"Долгосрочный кредитный продукт под залог жилья 50% ","1.00"
"8c8b2c4d54674cb511e810a1f68a6ff3","8c8b2c4d54674cb511e810a1f68a6fef",NULL,"Потребительский кредит","61",NULL,"53.700","50.00","48","2018-02-12","2022-02-13","15000000.00","0",NULL,NULL,NULL,"Долгосрочный кредитный продукт под залог жилья 50% ","1.00"
"b5be2c4d54674cb511e8af3d1dc87d56","bf2e2c4d54674cb511e7a282b4945407",NULL,"Потребительский кредит","81","г. Алматы","55.700","55.00","12","2018-09-03","2019-09-03","3000000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский продукт  под 55% годовых под залог автомобиля ","1.00"
"810800505694c42011e8e7ba2a487226","bc1c2c4d54674cb511e893aacc3f1be1",NULL,"Потребительский кредит","90","г. Алматы","55.740","55.00","12","2018-11-14","2019-11-14","3100000.00","0",NULL,NULL,NULL," Краткосрочный потребительский кредит под залоговое обеспечение-55%","1.00"
"892590fba666762811e74030b645ccf1","892590fba666762811e74030b645cce5",NULL,"Потребительский кредит","12",NULL,"51.400","48.00","12","2017-03-18","2018-03-03","1600000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский кредит под залоговое обеспечение с льготным периодом","1.00"
"aefa2c4d54674cb511e89c6969b734fc","bf2e2c4d54674cb511e7a282b4945407",NULL,"Потребительский кредит","78","г. Алматы","55.800","55.00","18","2018-08-13","2020-02-13","1000000.00","0",NULL,NULL,NULL,"Среднесрочный займ 55 % годовых без комиссии льготный период 6 мес","1.00"
"892590fba666762811e741eaca72fb95","892590fba666762811e741eaca72fb8e",NULL,"Потребительский кредит","16",NULL,"54.800","48.00","3","2017-05-11","2017-08-24","7300000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский кредит под залоговое обеспечение с льготным периодом","1.00"
"b6d12c4d54674cb511e8c605d3e6f6a6","bf2e2c4d54674cb511e7a282b4945407",NULL,"Потребительский кредит","85","г. Алматы","55.800","55.00","18","2018-10-02","2020-04-02","1000000.00","0",NULL,NULL,NULL,"Долгосрочный займ 55 % годовых 18 мес автомобиль","1.00"
"a35a2c4d54674cb511e7c50488855a45","892590fba666762811e74030b645cce5",NULL,"Потребительский кредит","35",NULL,"53.600","48.00","12","2017-11-03","2018-11-03","4400000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский кредит под залоговое обеспечение с льготным периодом","1.00"
"892590fba666762811e741eaca72fb89","892590fba666762811e74030b645cd0b",NULL,"Потребительский кредит","14",NULL,"26.400","26.00","48","2017-04-04","2021-04-04","600000.00","0",NULL,NULL,NULL,"Долгосрочный потребительский кредит под залоговое обеспечение 26%","0.50"
"810a00505694c42011e936954d6c3721","810a00505694c42011e936954d6c371c",NULL,"Потребительский кредит","111","г. Алматы","55.800","55.00","12","2019-02-22","2020-02-22","2200000.00","0",NULL,NULL,NULL," Краткосрочный потребительский кредит под залоговое обеспечение-55%","1.00"
"810a00505694c42011e92b7405c69e72","ac562c4d54674cb511e8e3163332ac5b",NULL,"Потребительский кредит","108","г. Алматы","55.680","55.00","12","2019-02-11","2020-02-11","4000000.00","0",NULL,NULL,NULL," Краткосрочный потребительский кредит под залоговое обеспечение-55%","1.00"
